Customer_ID;First_Name;Last_Name;Postal_Code;City;Country;Score
1;Bill;Van Buren;78000;Versailles;France;76
2;Gerald;Jackson;60528;Frankfurt a.M.;Germany;74
3;Harry;Nixon;75016;Paris;France;3
4;Dwight;Coolidge;97219;Portland;USA;25
5;Rutherford;Roosevelt;4179;Leipzig;Germany;87
6;Grover;Grant;80805;München;Germany;65
7;Grover;Roosevelt;98128;Seattle;USA;24
8;Bill;Roosevelt;82520;Lander;USA;27
9;Calvin;McKinley;97201;Portland;USA;54
10;Dwight;Jefferson;78000;Versailles;France;50
11;Ulysses;Harding;75016;Paris;France;50
12;Rutherford;Garfield;70563;Stuttgart;Germany;79
13;Jimmy;Tyler;75016;Paris;France;19
14;James;Roosevelt;24100;Bergamo;Italy;27
15;Ronald;Wilson;67000;Strasbourg;France;83
16;Martin;Roosevelt;59000;Lille;France;78
17;Martin;Kennedy;78000;Versailles;France;86
18;John;Taft;68306;Mannheim;Germany;59
19;Bill;Eisenhower;94117;San Francisco;USA;44
20;Ronald;Coolidge;87110;Albuquerque;USA;63
21;Franklin;Johnson;44000;Nantes;France;38
22;Benjamin;Reagan;44087;Münster;Germany;84
23;Benjamin;Van Buren;44087;Münster;Germany;41
24;Ulysses;Tyler;44000;Nantes;France;46
25;James;Cleveland;14776;Brandenburg;Germany;13
26;Harry;Truman;52066;Aachen;Germany;36
27;Chester;Roosevelt;80805;München;Germany;44
28;Warren;Roosevelt;67000;Strasbourg;France;0
29;Millard;Eisenhower;42100;Reggio Emilia;Italy;84
30;Benjamin;Madison;59801;Butte;USA;41
31;Dwight;Van Buren;14776;Brandenburg;Germany;57
32;Benjamin;Buchanan;75016;Paris;France;50
33;Herbert;Harrison;69004;Lyon;France;88
34;Woodrow;Kennedy;24100;Bergamo;Italy;92
35;Benjamin;Roosevelt;97201;Portland;USA;60
36;Ulysses;Roosevelt;59000;Lille;France;9
37;Dwight;Eisenhower;24100;Bergamo;Italy;78
38;Jimmy;Washington;68306;Mannheim;Germany;26
39;Millard;Clinton;97201;Portland;USA;7
40;Jimmy;Polk;60528;Frankfurt a.M.;Germany;50
41;Warren;Harrison;80805;München;Germany;33
42;Andrew;Adams;52066;Aachen;Germany;45
43;Calvin;Buchanan;10100;Torino;Italy;44
